ROM Club — Plano de custos (nível recomendado — aprovação Walter),,,,,,,,
Atualizado em: 08/07/2026 | 2 unidades | Sem equity,,,,,,,,
,,,,,,,,
RESUMO EXECUTIVO,,,,,,,,
Fase,Período,Ferramenta,Pessoas,Total mensal,Total período,Observação,,
Ramp-up,Acompanhamento de perto — 5 meses,5100,12000,17100,85500,PJ 20-25h/semana,,
Operação estável,CTO fracionado — a partir mês 6,5100,8000,13100,91700,PJ 8-12h/semana (7 meses no ano 1),,
Ano 1 completo,12 meses,,,,177200,35% ferramenta + 65% pessoas,,
Por unidade (operação estável),2 unidades,,,6550,,Ferramenta R$2550 + CTO R$4000,,
,,,,,,,,
CUSTO DA FERRAMENTA (FIXO),,,,,,,,
Item,Valor mensal (BRL),Valor anual (BRL),Por unidade/mês,Notas,,,,
Stack ROM completo,5100,61200,2550,"Avec 2×R$1500 + Vercel + Neon + IA + WhatsApp",,,,
,,,,,,,,
FASE 1 — RAMP-UP (5 MESES),,,,,,,,
Item,Valor mensal,Total 5 meses,Modelo,Equity,,,,
Ferramenta,5100,25500,Contratos diretos com fornecedores,Não,,,,
Acompanhamento técnico de perto,12000,60000,PJ — 20-25h/semana,Não,,,,
Total fase 1,17100,85500,,,,,,
,,,,,,,,
FASE 2 — CTO ROM (A PARTIR MÊS 6),,,,,,,,
Item,Valor mensal,Valor anual (12 meses),Modelo,Equity,,,,
Ferramenta,5100,61200,Recorrente,Não,,,,
CTO fracionado,8000,96000,PJ — 8-12h/semana,Não,,,,
Total operação estável,13100,157200,Recorrente,Não,,,,
,,,,,,,,
CRONOGRAMA FINANCEIRO — ANO 1,,,,,,,,
Mês,Fase,Ferramenta,Pessoas,Total acumulado,,,,
1,Ramp-up,5100,12000,17100,,,,
2,Ramp-up,5100,12000,34200,,,,
3,Ramp-up,5100,12000,51300,,,,
4,Ramp-up,5100,12000,68400,,,,
5,Ramp-up,5100,12000,85500,,,,
6,CTO,5100,8000,98600,,,,
7,CTO,5100,8000,111700,,,,
8,CTO,5100,8000,124800,,,,
9,CTO,5100,8000,137900,,,,
10,CTO,5100,8000,151000,,,,
11,CTO,5100,8000,164100,,,,
12,CTO,5100,8000,177200,,,,
,,,,,,,,
ENTREGAS FASE 1 (5 MESES),,,,,,,,
#,Entrega,Responsável,Prazo,Status,,,,
1,Avec integrado nas 2 unidades (dados reais),Técnico,Mês 1-2,,,,,
2,WhatsApp + alertas Telegram operacionais,Técnico,Mês 2-3,,,,,
3,Equipe treinada (briefing + painéis),Técnico + Gestão,Mês 3-4,,,,,
4,Documentação e plano de contingência,Técnico,Mês 4,,,,,
5,Relatório final + transição para CTO,Técnico,Mês 5,,,,,
,,,,,,,,
RESPONSABILIDADES CTO (FASE 2),,,,,,,,
Área,Descrição,,,,,,,
Stack,Dono técnico: Vercel Neon Avec IA WhatsApp,,,,,,,
Custos,Gestão de orçamento e otimização de infra,,,,,,,
Produto,Roadmap de melhorias com gestão,,,,,,,
Operação,Suporte incidentes horário comercial,,,,,,,
Governança,1 reunião estratégica/mês + relatório,,,,,,,
,,,,,,,,
FORA DO ESCOPO,,,,,,,,,
Item,Observação,,,,,,,
Equity,Sem participação societária,,,,,,,
Features grandes,Orçadas à parte,,,,,,,
Hardware / telefonia,Não incluso,,,,,,,
,,,,,,,,
VARIÁVEIS (AJUSTE SE NECESSÁRIO),,,,,,,,
Variável,Valor atual,Unidade,,,,,,
Custo ferramenta/mês,5100,BRL,,,,,,
Unidades,2,unidades,,,,,,
Meses ramp-up,5,meses,,,,,,
Remuneração ramp-up,12000,BRL/mês PJ,,,,,,
Remuneração CTO,8000,BRL/mês PJ,,,,,,
